snapshot fid10k
000000 313.7706
000016 339.1663
000032 301.123
000048 202.6142
000064 122.9433
000080 106.1143
000096 99.6623
000112 94.1184
000128 83.6676
000144 77.357
000160 70.7578
000176 68.0576
000192 62.96
000208 60.7002
000224 54.6886
000240 52.1521
000256 51.221
000272 47.0122
000288 46.6672
000300 45.5442
