snapshot fid10k
000000 322.8988
000016 420.7248
000032 352.2070
000048 162.7796
000064 112.0906
000080 98.0005
000096 85.3888
000112 74.4743
000128 67.5582
000144 62.2414
000160 58.4807
000176 56.5227
000192 54.3896
000208 51.3920
000224 47.3049
000240 46.1108
000256 42.0042
000272 39.4895
000288 39.3919
000300 40.2238
