snapshot fid10k
000000 313.0833
000016 333.4623
000032 278.3814
000048 220.1538
000064 141.1748
000080 119.9202
000096 119.6024
000112 115.6046
000128 100.0171
000144 91.8374
000160 87.9512
000176 81.6602
000192 78.1825
000208 74.0676
000224 70.5877
000240 66.5084
000256 66.6895
000272 59.6575
000288 58.6992
000300 55.53
