snapshot fid10k
000000 298.026
000016 322.2244
000032 281.3542
000048 271.9089
000064 224.6797
000080 175.9692
000096 131.288
000112 98.0883
000128 76.9656
000144 68.0011
000160 57.8158
000176 50.9482
000192 40.7506
000208 37.0264
000224 36.1491
000240 33.5998
000256 31.5666
000272 30.0254
000288 29.4443
000300 28.6862
