snapshot fid10k
000000 325.8364
000016 350.8981
000032 320.3681
000048 185.2298
000064 133.6644
000080 108.5745
000096 92.8349
000112 84.6427
000128 85.2039
000144 75.2348
000160 69.14
000176 63.005
000192 58.8966
000208 58.6561
000224 53.617
000240 50.0545
000256 46.5693
000272 43.1295
000288 40.6114
000300 39.726
