snapshot fid10k
000000 326.1366
000016 354.9372
000032 270.3401
000048 181.1983
000064 132.9996
000080 113.4863
000096 99.13
000112 91.6004
000128 80.7962
000144 74.9166
000160 68.6885
000176 66.2399
000192 62.6837
000208 60.8752
000224 62.0501
000240 59.3106
000256 51.0885
000272 51.0885
000288 49.9159
000300 48.6839
