snapshot fid10k
000000 298.1231
000016 284.8311
000032 250.9033
000048 243.454
000064 184.2882
000080 117.7359
000096 84.8676
000112 64.8955
000128 48.3783
000144 40.663
000160 39.1518
000176 34.7124
000192 32.1202
000208 30.1526
000224 27.9649
000240 26.5277
000256 25.8216
000272 26.4076
000288 25.8101
000300 24.8067
