snapshot fid10k
000000 290.0397
000016 415.6282
000032 283.5384
000048 321.9437
000064 251.2637
000080 148.6718
000096 100.4329
000112 72.7086
000128 57.6649
000144 47.8716
000160 43.1431
000176 40.4953
000192 37.4985
000208 35.9967
000224 33.3208
000240 32.1506
000256 31.0407
000272 27.9827
000288 27.0434
000300 25.4122

