snapshot fid10k
000000 297.5504
000016 266.5191
000032 259.443
000048 241.4888
000064 190.1108
000080 143.65
000096 104.1139
000112 68.8176
000128 47.4228
000144 36.0851
000160 32.2994
000176 29.2468
000192 26.8392
000208 26.0485
000224 24.6359
000240 23.5519
000256 22.1106
000272 20.4363
000288 19.9631
000300 19.8047
